,Age & BMI,"Sleep Quality
(average of nights)"
fortified_wine__glasses_week,-0.048064377071603354,-0.048064377071603354
hours_outdoors_winter,0.0179376289294411,0.013106163010743
hours_driving,0.02437861475427855,0.02437861475427855
liqueurs_measures_week,-0.0485296492850085,-0.02391730979075785
other_alcoholic_glasses_week,-0.0416881417844545,-0.008929547444119699
physical_activity_maderate_days_a_week,0.1369877120034919,0.1468069734402045
vigorous_activity_minutes,0.1345742702122841,0.1597164807345404
sleep_hours_in_24H,-0.02344400224243995,0.25177387695416664
work_hours,0.20631447272975229,0.2099680742408505
work_days_a_week,0.1294057640761902,0.1499104581669861
hours_using_computer_not_work,-0.040307194813683,-0.040307194813683
work_hours_day,0.2131345833166735,0.2119433833375253
hours_watching_tv,0.09768580076494876,0.0897538943525981
hours_outdoors_summer,-0.022190158517623952,0.00415365440720565
white_wine_glasses_week,0.12748712751884414,0.12452495679361125
walking_minutes_day,0.084057111012239,0.0905235360843416
walking_10min_days_a_week,0.0955831829423794,0.1288681217750515
beer_cider_pints_week,-0.04570045927164415,-0.04570045927164415
moderate_activity_minutes,0.11026134719893829,0.10567623896265566
drink_alcohol_with_meals_no,-0.036355349785509805,-0.036355349785509805
drink_alcohol_with_meals_partial,-0.038454314741101545,-0.03845431474110155
drink_alcohol_with_meals_yes,-0.03484897791871635,-0.03484897791871635
mobile_phone_side_of_head_Equal on both sides,-0.034979610171747846,-0.03497961017174775
mobile_phone_side_of_head_Left,-0.04228770565348465,-0.04228770565348465
mobile_phone_side_of_head_Right,-0.036056952670578055,-0.03605695267057815
drive_faster_often_Never or rarely,-0.036705170100781004,-0.036705170100781004
drive_faster_often_Sometimes,-0.03394759124658479,-0.0339475912465848
drive_faster_often_Usually,-0.033075919704805445,-0.03307591970480555
pet_present_no,-0.0356880761739611,-0.0356880761739611
pet_present_yes,-0.03617825991075775,-0.03617825991075775
mobile_phone_use_duration_per_week_1-3 hours,-0.0361445524434655,-0.03614455244346565
mobile_phone_use_duration_per_week_30-59 minutes,-0.03193795463338844,-0.03193795463338844
mobile_phone_use_duration_per_week_4-6 hours,-0.035152788146337696,-0.035152788146337655
mobile_phone_use_duration_per_week_5-29 minutes,-0.0375299491068847,-0.0375299491068847
mobile_phone_use_duration_per_week_More than 6 hours,-0.03237719020372665,-0.03237719020372665
why_stop_drinking_Other reasons,-0.03667615778399655,-0.03667615778399655
why_stop_drinking_dont know,-0.04002892548046775,-0.04002892548046775
visit_friends_family_times_2-4 times a week,-0.034625000685334,-0.034625000685334
visit_friends_family_times_Once a month,-0.034851585236749597,-0.034851585236749597
visit_friends_family_times_Once a week,-0.03524201357882745,-0.03524201357882745
high_exercise_times_a_month_Four to five times a week,-0.03960566023018505,-0.03960566023018505
high_exercise_times_a_month_Once a week,-0.03876965671945205,-0.03876965671945205
high_exercise_times_a_month_Two or three times a week,-0.03548477234753305,-0.03548477234753305
high_exercise_times_a_month_Two or three times in the last month,-0.03755367316112395,-0.03755367316112395
easy_getting_up_Does not wake up easily,-0.0382964076989187,-0.03829640769891855
easy_getting_up_Wakes up pretty easily,-0.03634622087505225,-0.03634622087505235
easy_getting_up_Wakes up very easily,-0.03358763822799425,-0.03358763822799425
manual_physical_work_Sometimes,-0.039902626266925,-0.039902626266925
manual_physical_work_no,-0.03781323623026015,-0.03781323623026015
alcohol_drink_1-2 times a week,-0.041320854512524804,-0.041320854512524804
alcohol_drink_1-3 times a month,-0.0347187968577187,-0.0347187968577187
alcohol_drink_3-4 times a week,-0.041891808807039854,-0.041891808807039854
alcohol_drink_In special cases only,-0.0382254993328556,-0.0382254993328556
high_exercise_duration_Between a quarter of an hour and half an hour,-0.035837368570169253,-0.0358373685701693
high_exercise_duration_Between an hour and an hour and a half,-0.0372050349754531,-0.0372050349754531
high_exercise_duration_Between half an hour and an hour,-0.032058515731690204,-0.032058515731690204
falling_asleep_during_daytime_From time to time,-0.0337567113594862,-0.0337567113594862
