,Age & BMI,Cardiovascular system
AHI,0.4716734939627265,0.47888168683932697
ahi_4_percent,0.4632171125297204,0.4601228272181732
ahi_central,0.1816698303467013,0.16499488667842033
ahi_central_during_nrem,0.15686450338180064,0.13325542787934985
ahi_central_during_rem,0.16790601562479113,0.1666590840917231
ahi_during_left,0.3412493111095035,0.36005591608488835
ahi_during_non_supine,0.40628361567739846,0.41797567740018005
ahi_during_nrem,0.4377125295104945,0.44542887057998015
ahi_during_prone,0.3530356763500667,0.32385471167068947
ahi_during_rem,0.47774151417368665,0.4845370798875973
ahi_during_right,0.3305188688117905,0.3272143464066447
ahi_during_supine,0.4556308717823917,0.457107215816298
ahi_obstructive,0.48180958508039917,0.48736776623982664
ahi_obstructive_during_nrem,0.4466756035280714,0.45188922553112787
ahi_obstructive_during_rem,0.478618571966133,0.4814249220849393
desaturations_above_20,0.15941036042463358,0.1179939536368204
desaturations_mean_nadir,0.34783309178085353,0.31304908140961235
desaturations_of_10_20,0.2570605936279823,0.21244569155584303
desaturations_of_4_9,0.4549410873959647,0.4501110691561936
number_of_4_percent_desaturation_apnea_hypopnea_events,0.44054885118763165,0.4378418952209373
number_of_all_respiratory_events,0.3205816448383644,0.3426398794553457
number_of_apnea_hypopnea_events,0.43803163670337286,0.44641245214517167
number_of_central_apnea_hypopnea_events,0.18505042113748882,0.17179179322339821
number_of_desaturation_events,0.4499879149311403,0.4376628335987801
number_of_obstructive_apnea_hypopnea_events,0.4482737673557359,0.4521967675357317
number_of_transitions_nrem_to_rem,0.034718486708308044,0.0195761593160695
number_of_transitions_nrem_to_wake,0.12428101178117495,0.06909555904383069
number_of_transitions_rem_to_nrem,0.0585022335393973,0.0284350420116972
number_of_transitions_rem_to_wake,-0.0096038253295644,-0.0013812549984373
number_of_transitions_wake_to_nrem,0.1318920180170034,0.07866627168407869
number_of_transitions_wake_to_rem,0.017445600984906752,-0.037891327661561905
number_of_wakes,0.11144773610642,0.0665579246719471
odi,0.4719348493319667,0.46320994996692477
odi_during_left,0.39360002945808975,0.3594836518998705
odi_during_non_supine,0.44106121340362137,0.4180040192921271
odi_during_nrem,0.41749768518464686,0.4017759235954921
odi_during_prone,0.36690641443890637,0.3412387934538929
odi_during_rem,0.5050654205127311,0.47600777505005915
odi_during_right,0.372219248056722,0.35664278201335986
odi_during_supine,0.43819765379739073,0.4301283088413299
percent_of_deep_sleep_time,0.18589331784945995,0.16033697762990629
percent_of_left_sleep,0.022753703815078602,0.03216943137975865
percent_of_light_sleep_time,0.1412058855856601,0.09275250223419215
percent_of_non_supine_sleep,0.04638587280169085,0.071595008468105
percent_of_prone_sleep,0.02988512979550475,0.08096129272171115
percent_of_rem_sleep_time,0.05289322246389215,0.0428611497457496
percent_of_right_sleep,0.0490181205875659,0.0276446439086082
percent_of_sleep_time,0.06482088802316105,0.0404484475337451
percent_of_supine_sleep,0.0463858730558361,0.0715950088320783
percent_of_wake_time,0.0648208898064915,0.040448444028251
rdi,0.37357543465835896,0.38132248965873894
rdi_during_left,0.2356020597125688,0.26729493278233873
rdi_during_non_supine,0.28524440909002924,0.2859804420658918
rdi_during_nrem,0.3307031261670472,0.350953892481712
rdi_during_prone,0.22185592520776481,0.19273985297359575
rdi_during_rem,0.38894479287901407,0.37769750326573137
rdi_during_right,0.20824267778225636,0.2058492568634842
rdi_during_supine,0.3675097765014883,0.38295479462890114
rem_latency,0.040064910737959,0.027423113528809502
saturation_below_80,0.12800793333795152,0.12612829115102503
saturation_below_85,0.21018802275308046,0.18533921198587636
saturation_below_90,0.312004629405659,0.2549220057515787
saturation_below_or_equal_88,0.2977982883078033,0.2205048599298377
saturation_max_value,0.09954763388915375,0.22280573875605925
saturation_mean,0.450185308011951,0.44205808223395504
saturation_min_value,0.37025620313647434,0.29911049190011946
sleep_efficiency,0.04729657618207565,0.042184090646989
sleep_latency,0.05571851484535935,0.04149282155788325
snore_above_40db,0.122034537935688,0.1355907543229829
snore_above_45db,0.2956638304948144,0.2609938103399003
snore_above_50db,0.2307799762587395,0.19071020118184007
snore_above_60db,0.1360421592718721,0.12889612596294445
snore_db_mean,0.27753979578866594,0.25608648413815327
time_to_transition_nrem_to_rem,0.02220651252281705,0.04116790016821585
time_to_transition_nrem_to_wake,0.0713812676781397,0.05930990909088525
time_to_transition_rem_to_nrem,0.08839130921411881,0.06380238302628545
time_to_transition_rem_to_wake,0.0331397831679805,0.0273635972728797
time_to_transition_wake_to_nrem,0.1245017554723704,0.07741348497622295
time_to_transition_wake_to_rem,0.0626338725606355,0.05586884889034835
total_arousal_sleep_time,-0.0036631667983252998,0.0505352782010164
total_deep_sleep_time,0.15565003549038944,0.1185430195469965
total_left_sleep_time,0.0241605420546409,0.03819596802398545
total_light_sleep_time,0.0929188491599888,0.12449769194297705
total_non_supine_sleep_time,0.04115202686907744,0.0816036695605675
total_prone_sleep_time,0.0241304377079134,0.07984288035288505
total_rem_sleep_time,0.00645801606564075,0.02369833933687175
total_right_sleep_time,0.05543978452202545,0.0183108668178912
total_sleep_time,-0.00226485584503245,0.048458075246739646
total_supine_sleep_time,0.03589983843925995,0.0705019231212637
total_time_in_bed,-0.0109607532750296,0.04061314839226395
total_valid_apnea_central_sleep_time,0.011758837441993901,0.0391749885642015
total_valid_apnea_sleep_time,0.01662613599490725,0.05788895323446735
total_wake_time,0.0552769819743767,0.02293708852539455
total_wake_time_after_sleep_onset,0.0774081768441479,0.0256503440694208
variability_between_sleep_stage_percents,0.1500198707479785,0.0988439983386456
