,Age & BMI,Cardiovascular system
saturation_max_value,0.09954763388915375,0.22280573875605925
total_prone_sleep_time,0.0241304377079134,0.07984288035288505
percent_of_prone_sleep,0.02988512979550475,0.08096129272171115
total_valid_apnea_sleep_time,0.01662613599490725,0.05788895323446735
total_non_supine_sleep_time,0.04115202686907744,0.0816036695605675
total_supine_sleep_time,0.03589983843925995,0.0705019231212637
rdi_during_left,0.2356020597125688,0.26729493278233873
total_light_sleep_time,0.0929188491599888,0.12449769194297705
total_valid_apnea_central_sleep_time,0.011758837441993901,0.0391749885642015
percent_of_supine_sleep,0.0463858730558361,0.0715950088320783
percent_of_non_supine_sleep,0.04638587280169085,0.071595008468105
number_of_all_respiratory_events,0.3205816448383644,0.3426398794553457
rdi_during_nrem,0.3307031261670472,0.350953892481712
time_to_transition_nrem_to_rem,0.02220651252281705,0.04116790016821585
ahi_during_left,0.3412493111095035,0.36005591608488835
total_rem_sleep_time,0.00645801606564075,0.02369833933687175
rdi_during_supine,0.3675097765014883,0.38295479462890114
total_left_sleep_time,0.0241605420546409,0.03819596802398545
snore_above_40db,0.122034537935688,0.1355907543229829
ahi_during_non_supine,0.40628361567739846,0.41797567740018005
percent_of_left_sleep,0.022753703815078602,0.03216943137975865
number_of_apnea_hypopnea_events,0.43803163670337286,0.44641245214517167
rdi,0.37357543465835896,0.38132248965873894
ahi_during_nrem,0.4377125295104945,0.44542887057998015
AHI,0.4716734939627265,0.47888168683932697
ahi_during_rem,0.47774151417368665,0.4845370798875973
ahi_obstructive,0.48180958508039917,0.48736776623982664
ahi_obstructive_during_nrem,0.4466756035280714,0.45188922553112787
number_of_obstructive_apnea_hypopnea_events,0.4482737673557359,0.4521967675357317
