,Age & BMI,"Sleep Quality
(average of nights)"
depressed_hopeless_fortnight,False,True
depressed_longest_period_weeks,False,True
depressed_whole_week,False,True
depressed_whole_week_periods,False,True
family_relationship_satisfaction,False,False
fed-up_often,False,True
feeling_lonley_often,False,False
fidgety_or_restless_fortnight,False,True
financial_situation_satisfaction,False,True
friendships_satisfaction,True,True
happiness_level,True,True
health_satisfaction,False,True
high_irritable_longest_period_duration,True,True
high_irritable_state,False,True
high_irritable_state_caused_problems,False,True
hyper_least_two_days,False,True
irritable_person,False,True
irritablilty_leading_to_argumens,False,True
little_interest_or_pleasure_fortnight,False,True
miserable_no_reason,False,True
mood_swings,False,True
nerves_anxiety_tension_depression_doctor,False,False
nerves_anxiety_tension_depression_psychiatrist,False,False
nervous_person,True,True
risks_taker,True,True
suffer_nerves,False,True
tense_or_highly_strung,False,False
tired_or_little_energy_fortnight,False,True
troubled_by_guilt,False,True
unenjoyment_uninterested_period_duration_weeks,True,True
unenjoyment_uninterested_periods_number,True,True
unenjoyment_uninterested_whole_week,False,True
work_satisfaction,False,True
worrier,True,True
worry_long_after_embarrassment,False,True
rds_score,False,True
