,Age & BMI,"Sleep Quality
(average of nights)"
depressed_hopeless_fortnight,-0.03627055314259705,-0.036270553142597
depressed_longest_period_weeks,-0.0601426564752946,-0.0601426564752946
depressed_whole_week,-0.0341212775644342,-0.0341212775644342
depressed_whole_week_periods,-0.06252399929026681,-0.0625239992902669
family_relationship_satisfaction,-0.03558603759048895,-0.03558603759048895
fed-up_often,-0.034319644318735645,-0.034319644318735645
feeling_lonley_often,-0.03405984305168655,-0.03405984305168655
fidgety_or_restless_fortnight,0.1622023543070888,0.16220235430708885
financial_situation_satisfaction,0.0912396244523491,0.09056018773825515
friendships_satisfaction,-0.037082816591145096,-0.0370828165911449
happiness_level,-0.0365502062416075,-0.03655020624160755
health_satisfaction,0.23746842389157335,0.23743309593785505
high_irritable_longest_period_duration,-0.0746555089951553,-0.0746555089951553
high_irritable_state,-0.07800964002101765,-0.07800964002101765
high_irritable_state_caused_problems,-0.13946992213964227,-0.1222309538598178
hyper_least_two_days,-0.0395866451213071,-0.0395866451213071
irritable_person,-0.04335880616766295,-0.04335880616766295
irritablilty_leading_to_argumens,-0.035939861720826,-0.035939861720826
little_interest_or_pleasure_fortnight,0.036861058258133794,0.036861058258133794
miserable_no_reason,-0.033806542866990544,-0.0338065428669906
mood_swings,-0.033471600787416594,-0.03347160078741665
nerves_anxiety_tension_depression_doctor,-0.0336464400631493,-0.0336464400631493
nerves_anxiety_tension_depression_psychiatrist,-0.03858563367207915,-0.03858563367207915
nervous_person,-0.03320858385136155,-0.03320858385136155
risks_taker,-0.0367025655123981,-0.0367025655123981
suffer_nerves,-0.04028635725555785,-0.0402863572555579
tense_or_highly_strung,-0.0368498492439505,-0.0368498492439506
tired_or_little_energy_fortnight,0.13213829061512666,0.13213829061512655
troubled_by_guilt,-0.03865786553445885,-0.03865786553445885
unenjoyment_uninterested_period_duration_weeks,-0.08589943311845749,-0.08589943311845749
unenjoyment_uninterested_periods_number,-0.0942120035753119,-0.0942120035753118
unenjoyment_uninterested_whole_week,-0.03796459282898035,-0.037964592828980404
work_satisfaction,0.15616414129049075,0.16157746025816727
worrier,-0.03835035313284535,-0.03835035313284535
worry_long_after_embarrassment,-0.0404204101471084,-0.0404204101471084
rds_score,0.2153770992313157,0.2173664075235521
