,body_comp_leg_right_lean_mass,body_comp_arm_right_lean_mass,body_comp_arm_left_lean_mass,body_comp_leg_left_lean_mass,height,hand_grip_left,hand_grip_right
0,0.6291518083066145,0.3997758561398957,0.40703275663290417,0.6206202626635632,0.13188296727127524,0.20741408488793542,0.22907714720912978
1,0.6335777558200927,0.40095222082135684,0.41190686274377264,0.6246010622604965,0.13607914615999564,0.2121734945282716,0.23329716948879797
2,0.6348160597107861,0.40460816016373524,0.41802806515812796,0.6241092607322127,0.14732564252625932,0.210766700274683,0.2286192209028847
3,0.6343671280959787,0.406942904153689,0.41576174297249635,0.6238944664708937,0.1434641801044121,0.20288526970646345,0.22544671797981264
4,0.6330124795056029,0.40214615612453525,0.41898762955028906,0.622747963361563,0.1470345248275049,0.20987200903838674,0.2248575644026737
5,0.6295888871458797,0.39653456107980073,0.41383034603906066,0.6186269181283706,0.1383550464862332,0.20925077072894196,0.21527045048067192
6,0.6311885971252845,0.3995262420584993,0.4081249256763277,0.6226415054115368,0.12901099433149876,0.21094950518419608,0.23235333203574038
7,0.6319178286681714,0.4001911893568944,0.4178218909096359,0.6203859507744967,0.13728152544765926,0.20815300153685698,0.21205614866865435
8,0.6301207263211666,0.39009526665963745,0.4033802118606174,0.6206020625116112,0.13126587263326153,0.2125743253181306,0.21609653970615064
9,0.6283231925286408,0.40185335633745894,0.41635531662284186,0.620105061391972,0.12854786151056716,0.2068315690311427,0.22963197823791986
10,0.6295111250343373,0.39896252165942697,0.41058635807574784,0.6180835174403965,0.1409488008639421,0.20102898831888646,0.23579961310331052
11,0.6330858651563833,0.3964155586905498,0.41243612256444045,0.6228220833566576,0.1242007621904067,0.21448178527690565,0.22472822893272523
12,0.6312721115390354,0.4004806628408526,0.4099491836658424,0.6202920241033871,0.1319398673250649,0.2026560462021018,0.22026352204676625
13,0.6304172738642889,0.401473293508877,0.41764916974595884,0.621332995661161,0.13194165819416542,0.20998995673155382,0.2188916356486552
14,0.633096631162322,0.3909523260313835,0.4067596994788151,0.6220268338970883,0.1289453722145141,0.20339643855913797,0.2277474204721145
15,0.6323087015625235,0.3919031145217255,0.4042319676236524,0.6210720791889909,0.12621714095455192,0.20789553953027232,0.22409582776653347
16,0.6299448459535791,0.4011257913831897,0.4122820977285348,0.6199245494090319,0.1561405353100301,0.20294448265961604,0.20767377969848416
17,0.6281671732323818,0.3893047102377689,0.40566709290815844,0.6177965248361854,0.12207603375084804,0.21335205003452154,0.21625296575942668
18,0.6319587988917996,0.39716371912750964,0.41332140557324903,0.6207036787442374,0.1449759160250235,0.20454633838681147,0.2205676712442767
19,0.6284230487104675,0.3934865313153569,0.4107766663388298,0.6159254375608378,0.15140886082731866,0.2035902874873151,0.21853356591565454
20,0.6284787546301918,0.3958400117895712,0.41177516940602077,0.620444466776492,0.12691605785400872,0.2098259720470649,0.23267844859995768
21,0.6310010091183795,0.4011192887524474,0.4190569562738203,0.6210595533161224,0.11741976091938817,0.2216404637248009,0.21461572247476463
22,0.6293342515361342,0.39362227575147424,0.40787941067093875,0.6218987349512402,0.1431792680302629,0.21324262234901814,0.21355139947559612
23,0.6327354144463097,0.39832970503646326,0.4102916046076803,0.6229308545323667,0.14321614426170368,0.21280987654567682,0.2185297418433593
24,0.6338018213609615,0.40330455580273683,0.41065250285133825,0.622305435601808,0.13244157129862072,0.21658741177293558,0.22695364299769716
25,0.6333106495546095,0.39320381590875564,0.4122840751147692,0.6213864997008481,0.1342438462544047,0.2116331064349376,0.22546839055203619
26,0.6310249079188787,0.40404287067579175,0.413393568338864,0.6231261141707746,0.14383872643817902,0.21579257920252265,0.22914000906283682
27,0.6326178839864498,0.40325119241177637,0.4140919764950791,0.624114559670839,0.13588984570134277,0.20174537764242093,0.23702366006825765
28,0.630942425079921,0.4038761526281046,0.4172492553338471,0.6198228632875777,0.13471843858691526,0.19932418240364527,0.22319262782979502
29,0.6326258183391071,0.4075479515353726,0.4189170263427867,0.6227573648184076,0.13629305251989773,0.21895107762335378,0.22352470331813806
30,0.6302057247403093,0.40682564084599937,0.4161709362196812,0.6208080604729838,0.11562169609974107,0.19756117044196114,0.21332868643368458
31,0.6325554225772245,0.4030575495345179,0.4130365490304194,0.624354576334796,0.1454308536240269,0.2049169061754613,0.22256663612645614
32,0.6288544154633434,0.39580329170074197,0.41252262931496286,0.6207454900116629,0.14062214526930594,0.2209209836065367,0.20391131372218982
33,0.627218567793533,0.38911028009729093,0.40086957697534453,0.6163329465660738,0.1411313680261391,0.21545496815275728,0.21636489289130859
34,0.6299551205616261,0.390175151760346,0.4094170501768961,0.6205183572632148,0.12084964062081605,0.20589375471241528,0.23567228077702881
35,0.6297323262057635,0.39558767821642266,0.4145167477907566,0.6183275821375281,0.12605442634734632,0.20304638705943776,0.21020673151249858
36,0.6276995836483898,0.3964620414735122,0.415782745131423,0.6201305928370144,0.13768248137703715,0.2148269523738332,0.2281396965577799
37,0.6336364677485348,0.3924181805360721,0.4052340212900626,0.6218645658811544,0.13153149654208302,0.21326245960297946,0.2092255788237325
38,0.6320769509878033,0.3874647927228827,0.40935507200523813,0.6227611889957272,0.15185047368683008,0.21932566179447827,0.2205892970812541
39,0.6286131027896423,0.4018779417745449,0.4117525737546189,0.6174231860152003,0.13783278847603353,0.21051054735223187,0.23376302437024177
40,0.6304117913742072,0.39535627365969694,0.41363409999715467,0.6214956424585757,0.13739211807958812,0.2163467419867483,0.23125597175839024
41,0.6273682382250495,0.3919530454014499,0.41023250673326467,0.6195525994379256,0.14368234165078853,0.20718449497485072,0.2321882454638537
42,0.6310033190653828,0.4017605871334888,0.41162515938995603,0.6207640471729144,0.1439901619803204,0.21099597295946657,0.21909345232943792
43,0.6305214231310315,0.3977585473963666,0.41461868679238734,0.6190324887779103,0.13867722159848062,0.20543446060167644,0.218152060633271
44,0.6274097212224369,0.39981070798642904,0.4119815233786087,0.6184707327026875,0.11809593709585253,0.214824466380278,0.22670489601779875
45,0.6273201004838992,0.39287778047498295,0.40923803993373,0.6194240818782646,0.13743920104771273,0.20643506719247168,0.21851720733506594
46,0.6298941680587238,0.3945361269339819,0.4130034404281871,0.6202667081367194,0.13696470600615843,0.20853225465914324,0.2209994821354221
47,0.629869052745504,0.4003240712098435,0.40991813036497865,0.6206521568218097,0.13827381271804923,0.20947756817337204,0.22217423190491828
48,0.6269442637375056,0.39974921375733624,0.4073460027485275,0.6172632293657055,0.1384269161851034,0.21193300120866745,0.21171358942466711
49,0.6329198504790783,0.39054985010126014,0.40839877747478853,0.6218572575048639,0.12588193921512872,0.2099029234497449,0.21991643190577306
