,Age & BMI,Renal function
AHI,False,True
ahi_4_percent,False,True
ahi_central,False,True
ahi_central_during_nrem,False,True
ahi_central_during_rem,False,True
ahi_during_left,False,True
ahi_during_non_supine,False,True
ahi_during_nrem,False,True
ahi_during_prone,False,True
ahi_during_rem,False,True
ahi_during_right,False,True
ahi_during_supine,False,True
ahi_obstructive,False,True
ahi_obstructive_during_nrem,False,True
ahi_obstructive_during_rem,False,True
desaturations_above_20,False,True
desaturations_mean_nadir,False,True
desaturations_of_10_20,False,True
desaturations_of_4_9,False,True
number_of_4_percent_desaturation_apnea_hypopnea_events,False,True
number_of_all_respiratory_events,False,True
number_of_apnea_hypopnea_events,False,True
number_of_central_apnea_hypopnea_events,False,True
number_of_desaturation_events,False,True
number_of_obstructive_apnea_hypopnea_events,False,True
number_of_transitions_nrem_to_rem,False,False
number_of_transitions_nrem_to_wake,False,True
number_of_transitions_rem_to_nrem,False,False
number_of_transitions_rem_to_wake,True,True
number_of_transitions_wake_to_nrem,False,True
number_of_transitions_wake_to_rem,False,True
number_of_wakes,False,True
odi,False,True
odi_during_left,False,True
odi_during_non_supine,False,True
odi_during_nrem,False,True
odi_during_prone,False,True
odi_during_rem,False,True
odi_during_right,False,True
odi_during_supine,False,True
percent_of_deep_sleep_time,False,True
percent_of_left_sleep,False,False
percent_of_light_sleep_time,False,True
percent_of_non_supine_sleep,False,True
percent_of_prone_sleep,False,False
percent_of_rem_sleep_time,False,True
percent_of_right_sleep,False,False
percent_of_sleep_time,False,True
percent_of_supine_sleep,False,True
percent_of_wake_time,False,True
rdi,False,True
rdi_during_left,False,True
rdi_during_non_supine,False,True
rdi_during_nrem,False,True
rdi_during_prone,False,True
rdi_during_rem,False,True
rdi_during_right,False,True
rdi_during_supine,False,True
rem_latency,False,True
saturation_below_80,False,True
saturation_below_85,False,True
saturation_below_90,False,True
saturation_below_or_equal_88,False,True
saturation_max_value,False,True
saturation_mean,False,True
saturation_min_value,False,True
sleep_efficiency,False,True
sleep_latency,False,True
snore_above_40db,False,True
snore_above_45db,False,True
snore_above_50db,False,True
snore_above_60db,False,True
snore_db_mean,False,True
time_to_transition_nrem_to_rem,False,True
time_to_transition_nrem_to_wake,False,True
time_to_transition_rem_to_nrem,False,True
time_to_transition_rem_to_wake,False,True
time_to_transition_wake_to_nrem,False,False
time_to_transition_wake_to_rem,False,True
total_arousal_sleep_time,False,False
total_deep_sleep_time,False,True
total_left_sleep_time,False,False
total_light_sleep_time,False,True
total_non_supine_sleep_time,False,True
total_prone_sleep_time,False,True
total_rem_sleep_time,False,False
total_right_sleep_time,False,False
total_sleep_time,False,False
total_supine_sleep_time,False,True
total_time_in_bed,False,False
total_valid_apnea_central_sleep_time,False,False
total_valid_apnea_sleep_time,False,False
total_wake_time,False,True
total_wake_time_after_sleep_onset,False,True
variability_between_sleep_stage_percents,False,True
